25/07/2020,"09 , 12 , 19 , 20 , 29 , 47",46
22/07/2020,"03 , 04 , 08 , 10 , 11 , 27",42
19/07/2020,"03 , 15 , 22 , 34 , 43 , 47",05
18/07/2020,"04 , 11 , 14 , 28 , 30 , 42",29
15/07/2020,"02 , 07 , 10 , 17 , 38 , 46",32
12/07/2020,"14 , 19 , 35 , 38 , 39 , 50",12
11/07/2020,"02 , 05 , 22 , 29 , 37 , 47",49
08/07/2020,"15 , 18 , 22 , 24 , 38 , 48",44
07/07/2020,"05 , 13 , 23 , 35 , 37 , 46",06
05/07/2020,"14 , 27 , 30 , 32 , 41 , 46",15
04/07/2020,"02 , 06 , 18 , 19 , 33 , 43",08
01/07/2020,"03 , 04 , 05 , 11 , 39 , 42",38
28/06/2020,"14 , 27 , 32 , 35 , 42 , 46",21
27/06/2020,"12 , 22 , 25 , 33 , 37 , 44",35
24/06/2020,"06 , 11 , 24 , 35 , 47 , 50",10
21/06/2020,"03 , 10 , 13 , 29 , 33 , 48",38
20/06/2020,"02 , 13 , 27 , 28 , 35 , 45",46
17/06/2020,"16 , 32 , 38 , 42 , 45 , 49",40
15/03/2020,"07 , 18 , 27 , 37 , 40 , 44",38
14/03/2020,"03 , 12 , 35 , 38 , 43 , 48",19
11/03/2020,"03 , 04 , 06 , 16 , 19 , 48",34
08/03/2020,"17 , 24 , 27 , 28 , 31 , 43",49
07/03/2020,"02 , 23 , 26 , 40 , 43 , 45",22
04/03/2020,"15 , 16 , 19 , 26 , 32 , 36",27
01/03/2020,"01 , 22 , 24 , 36 , 39 , 50",20
29/02/2020,"02 , 14 , 18 , 19 , 21 , 42",05
26/02/2020,"01 , 02 , 09 , 10 , 25 , 36",27
23/02/2020,"01 , 02 , 15 , 18 , 25 , 36",04
22/02/2020,"09 , 11 , 18 , 28 , 32 , 33",24
19/02/2020,"26 , 39 , 40 , 41 , 44 , 45",33
16/02/2020,"03 , 08 , 28 , 33 , 34 , 35",38
15/02/2020,"02 , 07 , 11 , 15 , 16 , 25",30
12/02/2020,"18 , 31 , 35 , 39 , 47 , 50",15
09/02/2020,"11 , 14 , 16 , 18 , 34 , 37",49
08/02/2020,"06 , 14 , 20 , 42 , 44 , 46",22
05/02/2020,"18 , 31 , 35 , 44 , 48 , 49",36
04/02/2020,"19 , 25 , 34 , 35 , 47 , 48",40
02/02/2020,"06 , 08 , 19 , 37 , 38 , 43",39
01/02/2020,"10 , 12 , 13 , 17 , 29 , 34",42
29/01/2020,"12 , 18 , 19 , 20 , 26 , 46",49
28/01/2020,"05 , 14 , 30 , 42 , 49 , 50",32
26/01/2020,"12 , 23 , 33 , 36 , 47 , 50",02
25/01/2020,"01 , 12 , 13 , 29 , 34 , 44",30
22/01/2020,"04 , 06 , 16 , 35 , 41 , 49",19
21/01/2020,"10 , 19 , 26 , 42 , 43 , 49",30
19/01/2020,"02 , 03 , 29 , 32 , 36 , 44",17
18/01/2020,"05 , 11 , 30 , 40 , 44 , 46",12
15/01/2020,"05 , 07 , 15 , 24 , 47 , 50",43
12/01/2020,"02 , 07 , 08 , 17 , 28 , 39",11
11/01/2020,"05 , 11 , 30 , 37 , 41 , 50",13
08/01/2020,"05 , 10 , 14 , 34 , 36 , 48",12
05/01/2020,"01 , 27 , 28 , 35 , 45 , 47",07
04/01/2020,"03 , 05 , 12 , 27 , 38 , 48",28
01/01/2020,"23 , 27 , 36 , 37 , 38 , 49",29
29/12/2019,"08 , 15 , 33 , 38 , 44 , 49",31
28/12/2019,"05 , 10 , 14 , 17 , 28 , 37",23
25/12/2019,"08 , 11 , 25 , 28 , 39 , 48",37
22/12/2019,"04 , 05 , 07 , 24 , 38 , 49",48
21/12/2019,"07 , 25 , 27 , 33 , 45 , 50",06
18/12/2019,"03 , 06 , 29 , 31 , 36 , 46",34
15/12/2019,"01 , 26 , 28 , 32 , 38 , 41",34
14/12/2019,"01 , 03 , 05 , 27 , 31 , 39",30
11/12/2019,"08 , 17 , 20 , 35 , 38 , 41",46
08/12/2019,"05 , 07 , 09 , 23 , 33 , 38",15
07/12/2019,"14 , 16 , 19 , 20 , 36 , 46",24
04/12/2019,"14 , 19 , 32 , 39 , 42 , 47",16
03/12/2019,"15 , 17 , 20 , 29 , 30 , 45",18
01/12/2019,"09 , 11 , 18 , 24 , 28 , 32",41
30/11/2019,"02 , 11 , 13 , 29 , 30 , 40",16
27/11/2019,"03 , 21 , 26 , 32 , 37 , 41",18
24/11/2019,"04 , 06 , 19 , 24 , 29 , 34",12
23/11/2019,"09 , 17 , 23 , 30 , 32 , 33",12
20/11/2019,"06 , 13 , 18 , 37 , 39 , 41",34
17/11/2019,"01 , 16 , 25 , 29 , 37 , 49",36
16/11/2019,"05 , 08 , 25 , 30 , 36 , 46",18
13/11/2019,"03 , 08 , 27 , 41 , 43 , 44",19
10/11/2019,"12 , 20 , 23 , 32 , 44 , 48",15
09/11/2019,"22 , 32 , 40 , 41 , 45 , 49",13
06/11/2019,"01 , 08 , 19 , 21 , 37 , 39",34
05/11/2019,"06 , 14 , 30 , 38 , 43 , 48",22
03/11/2019,"02 , 15 , 20 , 29 , 32 , 45",47
02/11/2019,"05 , 10 , 21 , 33 , 34 , 43",41
30/10/2019,"25 , 27 , 33 , 42 , 47 , 50",22
27/10/2019,"09 , 15 , 22 , 31 , 35 , 46",49
26/10/2019,"08 , 20 , 32 , 36 , 41 , 46",49
23/10/2019,"15 , 16 , 37 , 41 , 45 , 47",09
20/10/2019,"06 , 11 , 12 , 35 , 36 , 38",41
19/10/2019,"03 , 12 , 15 , 23 , 26 , 27",32
16/10/2019,"06 , 12 , 19 , 21 , 41 , 49",18
13/10/2019,"08 , 21 , 29 , 35 , 44 , 47",18
