25/07/2020,"03 , 18 , 36 , 52 , 54 , 57"
22/07/2020,"01 , 05 , 22 , 24 , 46 , 52"
19/07/2020,"26 , 35 , 46 , 49 , 55 , 57"
18/07/2020,"12 , 19 , 27 , 28 , 38 , 50"
15/07/2020,"06 , 13 , 17 , 26 , 32 , 47"
12/07/2020,"04 , 09 , 29 , 30 , 40 , 49"
11/07/2020,"08 , 20 , 37 , 51 , 55 , 58"
08/07/2020,"15 , 18 , 29 , 42 , 43 , 51"
07/07/2020,"22 , 29 , 31 , 43 , 49 , 57"
05/07/2020,"16 , 26 , 28 , 29 , 31 , 36"
04/07/2020,"25 , 26 , 40 , 45 , 49 , 58"
01/07/2020,"22 , 23 , 27 , 35 , 53 , 58"
28/06/2020,"20 , 23 , 26 , 27 , 43 , 57"
27/06/2020,"07 , 09 , 14 , 23 , 47 , 53"
24/06/2020,"16 , 21 , 36 , 40 , 45 , 56"
21/06/2020,"15 , 16 , 32 , 44 , 47 , 50"
20/06/2020,"21 , 30 , 43 , 45 , 48 , 56"
17/06/2020,"12 , 26 , 31 , 33 , 43 , 54"
15/03/2020,"01 , 18 , 19 , 23 , 24 , 58"
14/03/2020,"14 , 18 , 21 , 22 , 46 , 49"
11/03/2020,"07 , 13 , 20 , 23 , 24 , 27"
08/03/2020,"03 , 28 , 38 , 39 , 49 , 50"
07/03/2020,"17 , 24 , 47 , 55 , 57 , 58"
04/03/2020,"07 , 26 , 39 , 40 , 46 , 57"
01/03/2020,"01 , 04 , 15 , 24 , 41 , 43"
29/02/2020,"06 , 12 , 33 , 46 , 51 , 56"
26/02/2020,"04 , 24 , 35 , 40 , 41 , 48"
23/02/2020,"07 , 12 , 13 , 18 , 42 , 52"
22/02/2020,"14 , 25 , 42 , 50 , 53 , 56"
19/02/2020,"04 , 16 , 23 , 45 , 54 , 56"
16/02/2020,"02 , 30 , 46 , 53 , 54 , 57"
15/02/2020,"09 , 14 , 16 , 27 , 39 , 49"
12/02/2020,"02 , 12 , 16 , 32 , 41 , 52"
09/02/2020,"04 , 08 , 11 , 15 , 46 , 47"
08/02/2020,"15 , 29 , 31 , 52 , 54 , 58"
05/02/2020,"19 , 27 , 34 , 36 , 40 , 52"
04/02/2020,"25 , 33 , 44 , 50 , 53 , 56"
02/02/2020,"13 , 19 , 24 , 37 , 40 , 42"
01/02/2020,"05 , 09 , 15 , 29 , 35 , 51"
29/01/2020,"22 , 25 , 38 , 39 , 40 , 53"
28/01/2020,"01 , 07 , 18 , 20 , 27 , 34"
26/01/2020,"02 , 05 , 11 , 16 , 28 , 36"
25/01/2020,"01 , 27 , 29 , 35 , 40 , 50"
22/01/2020,"01 , 18 , 26 , 34 , 47 , 55"
21/01/2020,"12 , 18 , 44 , 47 , 50 , 54"
19/01/2020,"05 , 07 , 32 , 42 , 43 , 58"
18/01/2020,"14 , 22 , 25 , 43 , 53 , 54"
15/01/2020,"09 , 12 , 17 , 20 , 27 , 28"
12/01/2020,"07 , 12 , 31 , 41 , 47 , 49"
11/01/2020,"03 , 10 , 11 , 26 , 38 , 53"
08/01/2020,"03 , 17 , 36 , 45 , 49 , 50"
05/01/2020,"16 , 23 , 25 , 32 , 45 , 57"
